level,max_velocity,name,type,id,lat,lon,tags.highway,tags.railway,tags.traffic_signals,tags.barrier,tags.junction,tags.name,tags.note,tags.addr:street,tags.addr:housenumber,tags.operator,tags.name:vi,tags.access,nodes,tags.addr:city,tags.addr:district,tags.name:en,tags.ref,tags.addr:subdistrict,tags.service,tags.oneway,tags.old_name,tags.surface,tags.name:zh,tags.maxspeed,tags.foot,tags.bicycle,tags.layer,tags.bridge_name,tags.bridge_name:en,tags.bridge,tags.motorcar,tags.motorcycle:oneway,tags.bicycle:oneway,tags.horse,tags.lanes,tags.motorroad,tags.construction,tags.int_ref,tags.alt_name,tags.amenity,tags.crossing,tags.oneway:bicycle,tags.oneway:motorcar,tags.oneway:motorcycle,tags.motorcycle,tags.cycleway,members,tags.hour_off,tags.hour_on,tags.type,tags.except,tags.restriction,tags.network,tags.public_transport,tags.bench,tags.shelter,tags.building,tags.bridge:name,tags.bridge:name:en,tags.int_name,tags.lit,tags.motor_vehicle,tags.tourism,tags.car,tags.hgv,tags.area,tags.tactile_paving,tags.crossing_ref,tags.source,tags.name:de,tags.bus,tags.ski,tags.snowmobile,tags.wheelchair,tags.entrance,tags.religion,tags.name:ru,tags.noexit,tags.cuisine,tags.diet:vegetarian,tags.diet:vegan,tags.sidewalk,tags.motorcar:backward,tags.old_name:vi,tags.old_name:fr,tags.shop,tags.leisure,tags.name:vi-hani,tags.old_name:zh,tags.addr:province,tags.old_name:en,tags.addr:housename,tags.addr:postcode,tags.highway_1,tags.name:es,tags.width,tags.supervised,tags.name:pt,tags.description,tags.source:maxspeed,tags.fee,tags.parking,tags.tunnel,tags.proposed,tags.button_operated,tags.traffic_signals:sound,tags.level,tags.bicycle:forward,tags.ele,tags.addr:street:name,tags.maxheight,tags.stop,tags.minspeed,tags.maxweight,tags.phone,tags.website,tags.name:ja,tags.name:th,tags.fixme,tags.lay,tags.addr:place,tags.information,tags.ferry,tags.covered,tags.motorcar:forward,tags.footway
4,,Nguyễn Văn Bá,tertiary,0,,,tertiary,,,,,Nguyễn Văn Bá,,,,,,,"[366450125, 5627450801, 3376089936, 3376089932, 366439221, 366380944, 366428456, 366416066, 366423483, 366450784]",,,Nguyen Van Ba Street,,,,,,,阮文伯路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Đường số 5,secondary,1,,,secondary,,,,,Đường số 5,,,,,,,"[366469460, 3792257828, 3792257831, 366463672, 3792257838, 366384239, 5755039428, 5755038392, 5753492074, 366458287, 5753492033, 5753492029, 5753492079, 5753492027, 3117088701, 366412402, 2951390230, 366403668, 5755066033]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40.0,Châu Văn Liêm,secondary,2,,,secondary,,,,,Châu Văn Liêm,,,,,,,"[1996655233, 5816921541, 4614188871]",,,,,,,yes,,,,40,yes,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,designated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Lê Văn Thịnh,unclassified,3,,,unclassified,,,,,Lê Văn Thịnh,,,,,,,"[366441747, 5738173336, 5738173335, 366443557, 366384640, 3178488394, 5738009492, 366379430, 5738009784, 366387752, 366459285, 3132376473, 366413703, 5738009792, 5738009463, 1834115934, 3132377806, 1834115957, 366379323, 1834116012, 366429522, 366437501, 366374275, 5738009472, 366391073, 5738009436, 4947228847, 5738009815, 4947228892, 3178488395, 5742400014, 5742400015, 5742400013, 5742399954, 5742930978, 5742930981, 5743072788, 5742400016, 5738009486]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Tân Phú,primary_link,4,,,primary_link,,,,,Tân Phú,,,,,,,"[1894608446, 3202462314, 2351843539, 3202462315, 3202462316, 3202462317, 3202462318, 3202462319, 2344021182, 2344021186, 2345121528]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Lê Minh Xuân,tertiary,5,,,tertiary,,,,,Lê Minh Xuân,,,,,,,"[5769406271, 4638968132, 4638968130, 2299416638, 4639027499, 4639027501, 5772608672, 366430703, 5772608671, 3011828036]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Phú Hòa,unclassified,6,,,unclassified,,,,,Phú Hòa,,,,,,,"[5769406267, 366410141, 366448126, 366471682, 2299416634, 366458681, 5092125129, 5772608673, 2289930264, 2289930268, 5772608664, 2233730987]",,,Phu Hoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Lê Văn Lương,secondary,7,,,secondary,,,,,Lê Văn Lương,,,,,,,"[366422378, 5802629829, 366433066, 5802629803, 366458143, 366393555, 5802629840, 366402184, 5802629852, 366468672, 366371573, 366445679, 366388871, 3702562245, 366441227, 3702562253, 366397907, 366440080, 366397092, 3702562261, 3702562266, 2153156491, 3702562272, 3702562273, 373515972]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Nguyễn Khoái,tertiary,8,,,tertiary,,,,,Nguyễn Khoái,,,,,,yes,"[2380787693, 571360922, 2027430774, 1588330159, 1767169484, 1779408275, 2027431006, 5811504011, 1588330158, 1780010929, 1780010853, 366422916, 366445426]",,,Nguyen Khoai,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Nguyễn Văn Lượng,unclassified,9,,,unclassified,,,,,Nguyễn Văn Lượng,,,,,,,"[5151366694, 5151366692, 3174416228, 5360400688, 5751100724, 3242682808, 5716655824, 5751100726, 5716655822, 366459518, 5360400694, 5151366713, 5716917501]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Trương Quốc Dung,unclassified,10,,,unclassified,,,,,Trương Quốc Dung,,,,,,,"[727568351, 1672907094, 1706528933, 366448695]",,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Tản Đà,tertiary,11,,,tertiary,,,,,Tản Đà,,,,,Tản Đà,,"[366449673, 4979973980, 4589132514, 366433158, 5816931407, 4589132512]",,,Tan Da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Đường số 7,tertiary,12,,,tertiary,,,,,Đường số 7,,,,,,,"[5797643308, 5797643307, 5075576716, 5075577021, 5075577027, 5075577025, 2430257155, 4984435625, 5811666190, 2389075913, 366424989, 5811552460, 4984435621, 2439978585, 4984435623, 1802527676, 366432834]",Ho Chi Minh,Binh Tan,Road No.7,7,An Lac A,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Nguyễn Hồng Đào,tertiary,13,,,tertiary,,,,,Nguyễn Hồng Đào,,,,,,,"[2409410633, 4871947798, 3771486738, 366479279, 3771486740, 2084678169, 3771485041, 366450180, 5767053336, 5767053338, 3178335372, 3771485022, 3771485019, 3771485027, 3771486745, 3771485025, 2084678175, 366403969, 366384461, 366450557, 2930599204, 366439908, 2495745975, 3178335371, 366463782, 2495747992, 5769329867, 366372400, 3771444886, 366427031, 366390601, 366379315, 366442969, 366378823, 366421480, 2084678252, 366371936, 2084678211, 366385241, 366406127]",,,Nguyen Hong Dao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Trường Sa,tertiary,14,,,tertiary,,,,,Trường Sa,,,,,,,"[2366457793, 4950034788, 4950034787, 5764899744, 2344107979, 2291062342, 3717158224, 3717176330, 366453184, 3717158223, 366447253, 3734437532, 3717158222, 2291045534, 366452079, 2214315488, 411918997, 411918998, 411918995, 411918996, 411918992, 411918993, 411918991, 411918990, 411918988, 411918986, 411918985, 3717158217, 411918983, 411918982, 411918980, 411918979, 3761199054, 411918978, 411918977, 3761199055, 411918975, 411918974, 411918973, 411918971, 411918970, 411919020, 411919021, 411919017, 411919018, 411919019, 411919014, 411919015, 411919016, 3761199052, 411919012, 411919013, 3761199053, 411919010, 411919011, 411919008, 411919007, 411919009, 411919004, 3178235965]",,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Trần Não,secondary,15,,,secondary,,,,,Trần Não,,,,,,,"[5740364700, 1497312721, 1497312722, 3187126778, 5116957298, 2495941224, 1497312723, 1497312724, 1497312725, 3191421708, 1497312726, 3187128369, 1497312728, 1497312730, 1497312731, 5738429843, 3235938322, 1497312732, 1497312735, 3187126786, 1497312738, 1497312743, 1497312750, 1497312755, 1497312762, 1497312854, 5735415569, 5735415570]",,,Tran Nao,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Phạm Đăng Giảng,tertiary,16,,,tertiary,,,,,Phạm Đăng Giảng,,,,,,,"[5738534982, 5738538640, 5738535005, 4943402286, 3382829566, 3382829560, 5737827281, 3382829581, 5740194878, 5740194880, 3382829584, 5737781358, 366400431, 5025883618, 3382829588, 366472408, 5737781346, 2621185483, 366386837, 366476320, 5025519425, 366388711, 5025519401, 4943402276, 2394646417, 5025883601, 5735304974]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Đại Lộ III,tertiary,17,,,tertiary,,,,,Đại Lộ III,,,,,,,"[366390663, 2445304739, 366451635, 2445304301, 366428312, 2445304737, 366474871, 366428240, 366446446, 366473153, 366402588, 366446860]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Dương Thị Mười,tertiary,18,,,tertiary,,,,,Dương Thị Mười,,,,,,,"[5769332108, 5769341683, 366446071, 5764995230, 366421198, 366427594, 5764995219, 5764995246, 5764995200, 5044255851, 366473474, 5764995144, 5764995143, 5764995129, 5765040332, 366458116, 5762703469, 5762703470, 5765040345, 5762701848, 5762703464, 5762703461, 5762701823, 5762703515, 366452051, 5762703454, 366423123, 5762725623, 5762725629, 5762703511, 366445840, 5166719164, 366444152, 366427917, 5762725487, 366479343, 366424612, 5762725656, 5762725655, 366402345, 5757535341, 5757535102, 5757535337, 5757535321, 2191957228, 5757535110, 5757535324, 2191957231]",,,,,,,,Tân Chánh Hiệp 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,tertiary,19,,,tertiary,,,,,,,,,,,,"[366444984, 5735452041, 366443905, 5735452021, 366461102, 366410160, 366442996, 366441338, 5735415579, 378299077]",,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Thích Quảng Đức,tertiary,20,,,tertiary,,,,,Thích Quảng Đức,,,,,,,"[366379655, 5719731384, 3758592298, 366431662, 366475297, 3654066975, 366462375, 3758592297, 366444532, 3654067013, 366465197, 2487526100, 3654066941, 3654066942, 1410810108, 5719731383, 366478352, 737167478, 1694204639, 1675384219, 3654067028, 366453564, 1675384214, 3654066952, 1408031706, 366446926, 5778872990, 3654067005, 5778872989, 5763293916, 3654066932, 710640671, 5763160800, 3239047771, 5763160801, 366381386]",,,Thich Quang Duc,,,,no,,,,,,,,,,,,,,,,,,,,,,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Tân Thuận,unclassified,21,,,unclassified,,,,,Tân Thuận,,,,,,,"[366436931, 2993499702, 2993488900, 366450057, 2993499725, 2993505761, 366412216, 366468061]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Tam Bình,tertiary,22,,,tertiary,,,,,Tam Bình,,,,,,,"[366442274, 5757800720, 5757504170, 5757727772, 5757504173, 366388641, 5757727775, 5757727777, 5757800641, 5757721473, 366382396, 5757727784, 5757721465, 366411675, 3216188882, 3216188887, 3216188897, 366459049, 5757727786, 366427385, 3108021386, 366372665, 5757727788, 5757721441, 366476484, 5757721493, 5757800699, 366412598, 5762744068, 5762743746, 366373553, 5762744176, 366471734, 366414050, 5762744116, 3108021427, 5762744182, 366401589, 5762744100, 5762744156, 5762744162, 5769333449, 366408650, 5762744102, 5762743743, 3108021437, 366458715, 5762744077, 366408615, 5762744081, 366378637]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
