_id,long,lat,in_segments
366367233,106.7097014,10.7711099,yes
366367242,106.7371895,10.7093371,yes
366367285,106.7211626,10.8049939,yes
366367322,106.6571359,10.7991546,yes
366367330,106.5649256,10.8469467,yes
366367338,106.6325754,10.7237534,yes
366367342,106.7062937,10.7647028,yes
366367369,106.6378377,10.8597279,yes
366367370,106.5894652,10.8695191,yes
366367389,106.7581609,10.8197068,yes
366367392,106.6140317,10.7757322,yes
366367408,106.7227032,10.7497728,yes
366367437,106.7387414,10.8663403,yes
366367448,106.6372649,10.7431235,yes
366367450,106.6456729,10.7538414,yes
366367451,106.6953663,10.7937916,yes
366367452,106.6002094,10.8163364,yes
366367476,106.6293086,10.7152966,yes
366367490,106.5591348,10.6896892,yes
366367492,106.6664987,10.857172,yes
366367514,106.5905992,10.7460851,yes
366367560,106.6035517,10.7546351,yes
366367647,106.8276358,10.808391,yes
366367668,106.5848962,10.7473461,yes
366367696,106.5843711,10.8831698,yes
366367736,106.636388,10.6792309,yes
366367839,106.6645284,10.8076894,yes
366367847,106.671636,10.8145888,yes
366367850,106.5698784,10.7920159,yes
366367875,106.5838818,10.8885717,yes
366367996,106.6666453,10.7906742,yes
366368010,106.6447733,10.7630425,yes
366368035,106.6452379,10.6845022,yes
366368046,106.7143821,10.8011736,yes
366368048,106.6651797,10.755757,yes
366368058,106.5894653,10.8805808,yes
366368092,106.6147815,10.7389289,yes
366368110,106.5582414,10.6866367,yes
366368118,106.6718962,10.8293605,yes
366368121,106.6092442,10.8583034,yes
366368125,106.7089225,10.79196,yes
366368178,106.591531,10.6837755,yes
366368183,106.7002455,10.8766642,yes
366368185,106.5606573,10.7980675,yes
366368186,106.6997696,10.7938947,yes
366368261,106.5491211,10.7657301,yes
366368264,106.6507117,10.7533034,yes
366368275,106.7766108,10.8777181,yes
366368291,106.764915,10.7787781,yes
366368311,106.5984369,10.8833508,yes
366368313,106.6841719,10.7546334,yes
366368324,106.7411332,10.8773357,yes
366368328,106.5734987,10.8617494,yes
366368363,106.6383813,10.7439384,yes
366368374,106.675257,10.7812241,yes
366368386,106.7369923,10.7129071,yes
366368409,106.7421988,10.863722,yes
366368437,106.7830507,10.8769495,yes
366368453,106.5813534,10.727963,yes
366368454,106.7159791,10.8272547,yes
366368488,106.5810713,10.8140355,yes
366368515,106.7282956,10.8744697,yes
366368520,106.6258741,10.7160713,yes
366368522,106.5941184,10.750023,yes
366368534,106.6852023,10.8251451,yes
366368539,106.5771395,10.6996943,yes
366368543,106.7195854,10.8067007,yes
366368594,106.5512346,10.7696025,yes
366368611,106.642737,10.7328845,yes
366368615,106.7301028,10.822219,yes
366368670,106.6521393,10.7895903,yes
366368680,106.6512627,10.7578738,yes
366368684,106.7179027,10.8071776,yes
366368699,106.6275911,10.7736592,yes
366368702,106.6533233,10.7757726,yes
366368730,106.7348303,10.8686477,yes
366368733,106.6526388,10.796588,yes
366368737,106.5965152,10.8883738,yes
366368776,106.6798468,10.8301214,yes
366368785,106.5769348,10.795682,yes
366368819,106.6712945,10.8616899,yes
366368855,106.7544551,10.8640483,yes
366368862,106.6469545,10.7308144,yes
366368866,106.725621,10.8319797,yes
366368966,106.8372426,10.8618822,yes
366368975,106.6048664,10.8765394,yes
366368977,106.6382752,10.7741778,yes
366368978,106.6761399,10.743565,yes
366369010,106.6052567,10.8583152,yes
366369078,106.6644795,10.8072313,yes
366369082,106.5640567,10.8185863,yes
366369088,106.7761257,10.8475223,yes
366369121,106.603187,10.8775033,yes
366369122,106.6283706,10.7719507,yes
366369124,106.6077622,10.8858732,yes
366369155,106.7548063,10.8663781,yes
366369165,106.7364547,10.7888427,yes
366369237,106.8233333,10.7913678,yes
366369288,106.6294052,10.8833249,yes
366369298,106.8287395,10.8743147,yes
366369322,106.6545424,10.6976654,yes
366369337,106.6395651,10.7698683,yes
366369341,106.7204336,10.7015411,yes
366369343,106.6583334,10.75642,yes
366369360,106.6551098,10.693072,yes
366369368,106.5807697,10.7169308,yes
366369370,106.6763149,10.7471417,yes
366369377,106.6641153,10.8373421,yes
366369385,106.6350613,10.8626695,yes
366369386,106.6630147,10.8387654,yes
366369406,106.704976,10.6769783,yes
366369424,106.672682,10.7973534,yes
366369448,106.6929629,10.8534957,yes
366369468,106.6289394,10.6991565,yes
366369484,106.6641562,10.795953,yes
366369490,106.66203,10.7397148,yes
366369508,106.567856,10.7920634,yes
366369516,106.7224874,10.8468447,yes
366369547,106.6235959,10.7118554,yes
366369548,106.5958513,10.8790964,yes
366369553,106.6582476,10.7994904,yes
366369558,106.580579,10.7070699,yes
366369560,106.7512596,10.789586,yes
366369587,106.5781022,10.7884604,yes
366369589,106.6443078,10.8326063,yes
366369602,106.8022741,10.8473413,yes
366369613,106.6777939,10.8412476,yes
366369634,106.6387157,10.7529536,yes
366369636,106.6851923,10.7972149,yes
366369642,106.625491,10.7851423,yes
366369649,106.5766422,10.8172404,yes
366369651,106.5639757,10.8319343,yes
366369660,106.6034047,10.7828148,yes
366369666,106.6068807,10.8748675,yes
366369671,106.6619752,10.7399317,yes
366369672,106.628428,10.7144705,yes
366369675,106.6580009,10.7608606,yes
366369710,106.7124446,10.721392,yes
366369712,106.6634893,10.8350828,yes
366369721,106.6980054,10.722702,yes
366369725,106.7306955,10.7935921,yes
366369811,106.6437254,10.8329776,yes
366369816,106.590131,10.6824039,yes
366369819,106.6756995,10.8011427,yes
366369832,106.5988086,10.8794659,yes
366369840,106.6048603,10.7657828,yes
366369871,106.7526385,10.852563,yes
366369902,106.6411109,10.8058635,yes
366369911,106.6966309,10.8113412,yes
366369928,106.7490604,10.7665783,yes
366369976,106.6601249,10.7924172,yes
366369985,106.629824,10.7136577,yes
366369989,106.7749548,10.8788789,yes
366370011,106.6255233,10.7108548,yes
366370051,106.6381869,10.8610927,yes
366370087,106.643825,10.7578558,yes
366370104,106.6404032,10.8258465,yes
366370125,106.6351218,10.7258491,yes
366370127,106.6720271,10.8292954,yes
366370132,106.6522035,10.7620489,yes
366370165,106.5741239,10.8241123,yes
366370183,106.8342668,10.8839368,yes
366370193,106.6222982,10.7832078,yes
366370205,106.7275178,10.8335624,yes
366370213,106.6033835,10.7677764,yes
366370214,106.5977085,10.8883195,yes
366370238,106.621994,10.7862531,yes
366370268,106.5789162,10.6952331,yes
