street_name,type,s_node_id,e_node_id,long_snode,lat_snode,long_enode,lat_enode
Đường Kinh Dương Vương,primary_link,4984435433,4984435434,106.6340155,10.7536344,106.6341121,10.7535984
Đường Kinh Dương Vương,primary_link,4984435434,4984435435,106.6341121,10.7535984,106.6341746,10.7535852
Đường Kinh Dương Vương,primary_link,4984435435,4984435436,106.6341746,10.7535852,106.6342441,10.7535627
Đường Kinh Dương Vương,fuel,5797841733,5797843768,106.6142093,10.7364711,106.6142699,10.7365884
Đường Kinh Dương Vương,fuel,5797843768,5797843767,106.6142699,10.7365884,106.6144819,10.7369362
Đường Kinh Dương Vương,government,5797843767,5797843766,106.6144819,10.7369362,106.6145519,10.737047
Đường Kinh Dương Vương,government,5797843766,5797843763,106.6145519,10.737047,106.6146698,10.7372336
Đường Kinh Dương Vương,fuel,5797841740,5797841741,106.6149888,10.73825,106.6147828,10.7379148
Đường Kinh Dương Vương,fuel,5797841742,5797841743,106.6146944,10.7377688,106.6145308,10.7374776
Đường Kinh Dương Vương,fuel,5797841743,5797841732,106.6145308,10.7374776,106.614443,10.737327
Đường Kinh Dương Vương,fuel,5797841732,5797843775,106.614443,10.737327,106.6143555,10.737177
Đường Kinh Dương Vương,fuel,5797843775,5797843776,106.6143555,10.737177,106.6140618,10.7367184
Đường Kinh Dương Vương,fuel,5797843776,5797843773,106.6140618,10.7367184,106.61396,10.7365552
Đường Kinh Dương Vương,fuel,5797843773,5797843777,106.61396,10.7365552,106.6138887,10.736447
Đường Kinh Dương Vương,fuel,5797843777,5797843772,106.6138887,10.736447,106.6137691,10.7362454
Đường Kinh Dương Vương,fuel,5797843772,5797843778,106.6137691,10.7362454,106.6136611,10.73604
Đường Kinh Dương Vương,fuel,5797843778,5797843771,106.6136611,10.73604,106.6135962,10.7359416
Đường Kinh Dương Vương,fuel,5797843771,5797843779,106.6135962,10.7359416,106.6133421,10.7355164
Đường Kinh Dương Vương,house,5797843779,5797843770,106.6133421,10.7355164,106.6132954,10.7354418
Đường Kinh Dương Vương,house,5797843770,5797843780,106.6132954,10.7354418,106.613206,10.7352832
Đường Kinh Dương Vương,house,5797843780,5797843781,106.613206,10.7352832,106.6127995,10.734601
Đường Kinh Dương Vương,primary,5797843781,5797843782,106.6127995,10.734601,106.6127956,10.7344601
Đường Kinh Dương Vương,tertiary,5797843791,5797843790,106.6129379,10.7344512,106.6130406,10.7345303
Đường Kinh Dương Vương,tertiary,5797843790,5797843789,106.6130406,10.7345303,106.6133227,10.7349889
Đường Kinh Dương Vương,fuel,5797843789,5797843783,106.6133227,10.7349889,106.6134741,10.7352358
Đường Kinh Dương Vương,fuel,5797843783,5797843788,106.6134741,10.7352358,106.6135327,10.7353463
Đường Kinh Dương Vương,fuel,5797843788,5797843784,106.6135327,10.7353463,106.6137731,10.7357579
Đường Kinh Dương Vương,fuel,5797843784,5797843787,106.6137731,10.7357579,106.61384,10.7358603
Đường Kinh Dương Vương,fuel,5797843787,5797843786,106.61384,10.7358603,106.6141221,10.7363247
Đường Kinh Dương Vương,fuel,5797843786,5797841733,106.6141221,10.7363247,106.6142093,10.7364711
Đường Kinh Dương Vương,marketplace,5797843758,5797843757,106.619195,10.7416884,106.6193055,10.7417938
Đường Kinh Dương Vương,marketplace,5797843757,5797843801,106.6193055,10.7417938,106.6193956,10.7418917
Đường Kinh Dương Vương,primary,5797843801,5797843792,106.6193956,10.7418917,106.6194575,10.7419439
