id,s_node_id,e_node_id
0,663,512
1,1179,5601
2,377,8976
3,11094,6619
4,840,8429
5,5046,5047
6,3522,6856
7,6856,6857
8,6857,10169
9,10169,688
10,688,10168
11,4544,10168
12,9793,463
13,3285,10167
14,592,10877
15,2414,2767
16,2415,600
17,7726,8103
18,2359,2353
19,927,2359
20,7362,939
21,7362,6433
22,6433,7362
23,6433,719
24,719,6433
25,719,11107
26,11107,719
27,11107,6432
28,6432,11107
29,10793,10792
30,4979,4062
31,7268,7269
32,7268,9463
33,5031,2208
34,2211,2212
35,8283,8284
36,5358,5359
37,8368,5358
38,5360,8368
39,8502,5360
40,5361,8503
41,339,7420
42,274,3960
43,615,1279
44,615,9299
45,8289,868
46,868,8288
47,1076,464
48,464,857
49,857,828
50,828,8285
51,8285,1308
52,8145,5561
53,1241,5459
54,5459,1092
55,1092,5459
56,4016,5453
57,10522,905
58,5461,10522
59,10521,5461
60,9408,10521
61,1924,5452
62,9384,1924
63,5091,9385
64,9385,151
65,762,4534
66,253,9145
67,166,9146
68,5052,1058
69,9147,646
70,9148,9143
71,9144,9154
72,9317,1196
73,9318,349
74,9315,9316
75,442,9313
76,9312,441
77,726,7000
78,3933,888
79,3933,7097
80,7097,3933
81,7097,255
82,255,7097
83,255,1233
84,1233,255
85,1233,10416
86,10416,1233
87,10416,1129
88,1129,10416
89,1129,532
90,532,1129
91,532,10415
92,10415,532
93,10415,489
94,489,10415
95,489,1225
96,1225,489
97,1225,7143
98,7143,1225
99,7143,920
100,920,7143
101,920,677
102,677,920
103,677,7073
104,7073,677
105,7073,635
106,635,7073
107,635,7074
108,7074,635
109,7074,609
110,609,7074
111,609,1037
112,1037,609
113,1037,66
114,66,1037
115,66,7072
116,7072,66
117,7072,95
118,95,7072
119,95,665
120,665,95
121,665,6391
122,6391,665
123,6391,807
124,807,6391
125,807,6390
126,6390,807
127,6390,367
128,367,6390
129,367,6389
130,6389,367
131,6389,39
132,39,6389
133,39,1157
134,1157,39
135,1157,627
136,627,1157
137,627,7113
138,7113,627
139,7113,1014
140,1014,7113
141,1014,7112
142,7112,1014
143,7112,454
144,454,7112
145,454,7085
146,7085,454
147,7085,356
148,356,7085
149,356,257
150,257,356
151,257,7353
152,7353,257
153,7353,7354
154,7354,7353
155,3811,10836
156,9290,9294
157,9293,1260
158,1260,4488
159,4488,977
160,977,4493
161,10029,10015
162,10029,10030
163,10030,10029
164,10030,10031
165,10031,10030
166,10031,11243
167,11243,10031
