type,id,tags.highway,tags.traffic_signals,tags.junction,tags.name,tags.note,tags.addr:street,tags.addr:housenumber,tags.name:vi,tags.access,nodes,tags.addr:city,tags.addr:district,tags.name:en,tags.ref,tags.addr:subdistrict,tags.service,tags.oneway,tags.old_name,tags.surface,tags.name:zh,tags.maxspeed,tags.foot,tags.bicycle,tags.layer,tags.bridge_name,tags.bridge_name:en,tags.bridge,tags.motorcar,tags.motorcycle:oneway,tags.bicycle:oneway,tags.horse,tags.lanes,tags.motorroad,tags.construction,tags.int_ref,tags.alt_name,tags.amenity,tags.crossing,tags.oneway:bicycle,tags.oneway:motorcar,tags.oneway:motorcycle,tags.motorcycle,tags.cycleway,tags.bridge:name,tags.bridge:name:en,tags.int_name,tags.lit,tags.motor_vehicle,tags.car,tags.hgv,tags.area,tags.source,tags.name:de,tags.bus,tags.ski,tags.snowmobile,tags.wheelchair,tags.religion,tags.sidewalk,tags.motorcar:backward,tags.old_name:vi,tags.old_name:fr,tags.name:vi-hani,tags.old_name:zh,tags.addr:province,tags.old_name:en,tags.addr:postcode,tags.width,tags.description,tags.source:maxspeed,tags.tunnel,tags.proposed,tags.level,tags.bicycle:forward,tags.ele,tags.addr:street:name,tags.maxheight,tags.stop,tags.minspeed,tags.maxweight,tags.name:ja,tags.name:th,tags.fixme,tags.lay,tags.information,tags.covered,tags.motorcar:forward,tags.footway
way,32575768,residential,,,Đường số 27,,,,,,"[366369613, 5795144851, 366418963, 366373068, 5753228946, 5795144815, 366378718, 5795144828, 5795144841, 5795144839, 4107389720, 5752843056, 366442490, 5753023085, 366387538, 5793457602, 5752843088, 5753023079, 366444706, 5752843089, 5795145096, 5752843085]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32576350,residential,,,Đường số 18,,,,,,"[366372346, 5755079612, 3040292134, 5755079614, 5755049749, 5845744589, 5755049767, 366478692, 5755049761, 5716927878, 366414210, 366408075, 2686060644, 2686060645, 2686060646]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32576691,secondary,,,Phan Văn Hớn,,,,,,"[366452320, 3351962143, 3351962141, 366375776, 5750604125, 366418412, 3356279285, 366375527, 3350064601, 366372974, 3351882753, 366403377, 3376115674, 366477242, 4178544418, 366417902, 366417882, 366435027, 366402459, 366451475, 366432164, 366375946, 4865562278, 366400484, 3376112182, 366402493, 3376115796, 366456105, 366426101, 3376519377, 366466989, 3376519374, 5750808327, 737199241, 5750805519, 5750808333, 366420409, 5750805517, 366433035, 366449088, 366368328, 366452239, 366387765, 3376519323, 366417219, 366460104, 5750870325, 3376519253, 366448964, 366412328, 3376519218, 366383415, 5755325726, 366435526, 366398163, 3376519121, 5755046116, 366445121, 5755046074, 366458106, 5753106539, 737199242, 5753105399, 366435236, 5751092212, 5753106554, 5753105404, 366445555, 5753105400, 3376115619, 737199238, 3376518756, 5753316910, 5753316892, 366420081, 5752789362, 366384568, 3376518719, 366470029, 3220145878, 366441293, 366470452, 366400238, 3220145727, 366445703, 3220145722, 366383524, 366458687, 366411230, 3220145680, 5752804442, 366430977, 5750735808, 366463639, 3220144758, 366469595, 5750735774, 366401665, 366428795, 3220144752, 366435299, 366445632, 366399599, 366446398, 3376112278, 366451105, 5748776036, 366417990, 366380046, 5748776094, 366479263, 366461302, 366460227, 5748776090, 366373663, 366456166, 366475384, 1603905804, 366371606]",Ho Chi Minh,Hoc Mon,Phan Van Hon,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32576911,residential,,,Tân Thành,,,,,,"[5778381635, 5552002921, 4878713065, 5802888803, 4585475258, 366462332, 5802888828, 5813858127, 1996745627, 366368807, 366418204, 5802888786, 5813858458, 5802888787, 5674570650, 5802861318, 5802888820, 366371060, 366369343]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577060,residential,,,,,,,,,"[366371080, 366389438, 5735589498, 5735589492, 5735589495, 366373643, 5735589497, 366383116, 366369124, 366425083, 737199252]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577244,tertiary,,,Tôn Thất Hiệp,,,,,,"[366445888, 2434647895, 4929127560, 366388735, 366474637, 5778485990, 366465994, 366418153, 5778485984, 366413450, 366474075, 4932516665, 366448103, 366429352, 4924631882, 366426405, 4924631894, 366424295, 366457256, 366371762, 4924631875, 366374703, 366428610, 4537174049, 366439980, 4537174048, 366402755, 4537174047, 366370132, 366467835, 366425707, 4929793672, 366455637, 4929793668, 366409572, 4927819032, 366401937, 366388860, 4979973933, 4979973934]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577484,tertiary,,,Gò Dưa,,,,,,"[4720214181, 366368730, 5767715230, 2968017234, 366458730, 5767715260, 366407749, 2968017239, 3217666095, 3217666096, 5767420562, 2968017251, 5767639435, 366381991, 366370840, 5767420529, 737199297, 5767600867, 4031006190, 5767601357, 5767600871, 366476127, 366436977, 5767601368, 5767639430, 5767601360, 366454364, 366456025, 366469717, 366443806, 366382032, 2968017262, 366441452, 2968017263, 366371371, 5772493654, 366397808]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577508,tertiary,,,Kha Vạn Cân,,,,,,"[366377850, 366416677, 3141558631, 366368454, 366444451, 2964346522, 2418527119, 366388058, 366413436, 366382389, 3141558632, 366376119, 366410090, 366408398, 2964936882, 366465432, 366452505]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577627,residential,,,Huỳnh Mẫn Đạt,,,,,,"[366402464, 366388178, 5775221826, 366386086, 366452450, 5738098126, 5775221839, 5775221831, 366474553, 366368125]",Ho Chi Minh,Bình Thạnh,Huynh Man Dat,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32578394,service,,,Hẻm 197 Hàn Hải Nguyên,,,,,,"[366372517, 5769559429, 4932516754, 366421178, 5769559431, 6169690275, 4932516752, 366370772]",,,,,,alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
