,type,id,tags.note,members,tags.hour_off,tags.hour_on,tags.type,tags.except,tags.restriction
5631,relation,2922023,,"[{'type': 'node', 'ref': 366443898, 'role': 'via'}, {'type': 'way', 'ref': 220971019, 'role': 'from'}, {'type': 'way', 'ref': 32580244, 'role': 'to'}]",18:00,17:00,restriction,motorcycle,no_left_turn
5632,relation,3423384,,"[{'type': 'node', 'ref': 2079964894, 'role': 'via'}, {'type': 'way', 'ref': 255646465, 'role': 'from'}, {'type': 'way', 'ref': 255646464, 'role': 'to'}]",,,restriction,motorcycle,no_left_turn
7974,relation,2907508,,"[{'type': 'node', 'ref': 366476538, 'role': 'via'}, {'type': 'way', 'ref': 219856946, 'role': 'from'}, {'type': 'way', 'ref': 239030925, 'role': 'to'}]",,,restriction,,no_left_turn
7975,relation,2914954,,"[{'type': 'node', 'ref': 366462455, 'role': 'via'}, {'type': 'way', 'ref': 152067208, 'role': 'from'}]",,,restriction,,no_u_turn
7976,relation,2970026,,"[{'type': 'node', 'ref': 2079964991, 'role': 'via'}, {'type': 'way', 'ref': 223784360, 'role': 'from'}, {'type': 'way', 'ref': 628721073, 'role': 'to'}]",,,restriction,motorcycle,no_right_turn
7977,relation,3029466,,"[{'type': 'node', 'ref': 2210806919, 'role': 'via'}, {'type': 'way', 'ref': 629178829, 'role': 'from'}, {'type': 'way', 'ref': 225922496, 'role': 'to'}]",,,restriction,,no_right_turn
7978,relation,3113587,,"[{'type': 'way', 'ref': 399152053, 'role': 'from'}, {'type': 'way', 'ref': 231977547, 'role': 'from'}, {'type': 'way', 'ref': 223229323, 'role': 'via'}, {'type': 'way', 'ref': 260604763, 'role': 'to'}, {'type': 'way', 'ref': 399152054, 'role': 'to'}]",,,restriction,motorcycle,no_u_turn
7979,relation,4264025,,"[{'type': 'node', 'ref': 2244879146, 'role': 'via'}, {'type': 'way', 'ref': 211068224, 'role': 'from'}, {'type': 'way', 'ref': 316618923, 'role': 'to'}]",,,restriction,,no_right_turn
7980,relation,5351138,,"[{'type': 'node', 'ref': 366389514, 'role': 'via'}, {'type': 'way', 'ref': 32576645, 'role': 'from'}, {'type': 'way', 'ref': 359550384, 'role': 'to'}]",,,restriction,,no_left_turn
7981,relation,5996329,,"[{'type': 'node', 'ref': 366437635, 'role': 'via'}, {'type': 'way', 'ref': 32585398, 'role': 'from'}, {'type': 'way', 'ref': 211419161, 'role': 'to'}]",,,restriction,,only_left_turn
10908,relation,3029468,,"[{'type': 'node', 'ref': 2244906874, 'role': 'via'}, {'type': 'way', 'ref': 210779439, 'role': 'from'}, {'type': 'way', 'ref': 611396786, 'role': 'to'}]",,,restriction,,no_right_turn
10909,relation,8092086,,"[{'type': 'way', 'ref': 32578654, 'role': 'from'}, {'type': 'node', 'ref': 2468452120, 'role': 'via'}, {'type': 'way', 'ref': 567751082, 'role': 'to'}]",,,restriction,,no_straight_on
12183,relation,3123749,,"[{'type': 'node', 'ref': 2409402335, 'role': 'via'}, {'type': 'way', 'ref': 232595316, 'role': 'from'}, {'type': 'way', 'ref': 32588479, 'role': 'to'}]",,,restriction,motorcycle,no_left_turn
12184,relation,6422646,,"[{'type': 'way', 'ref': 468590910, 'role': 'from'}, {'type': 'node', 'ref': 366416137, 'role': 'via'}, {'type': 'way', 'ref': 289862304, 'role': 'to'}]",,,restriction,,no_left_turn
