id,type,ref,role
2922023,node,366443898,via
2922023,way,220971019,from
2922023,way,32580244,to
3423384,node,2079964894,via
3423384,way,255646465,from
3423384,way,255646464,to
2907508,node,366476538,via
2907508,way,219856946,from
2907508,way,239030925,to
2914954,node,366462455,via
2914954,way,152067208,from
2970026,node,2079964991,via
2970026,way,223784360,from
2970026,way,628721073,to
3029466,node,2210806919,via
3029466,way,629178829,from
3029466,way,225922496,to
3113587,way,399152053,from
3113587,way,231977547,from
3113587,way,223229323,via
3113587,way,260604763,to
3113587,way,399152054,to
4264025,node,2244879146,via
4264025,way,211068224,from
4264025,way,316618923,to
5351138,node,366389514,via
5351138,way,32576645,from
5351138,way,359550384,to
5996329,node,366437635,via
5996329,way,32585398,from
5996329,way,211419161,to
3029468,node,2244906874,via
3029468,way,210779439,from
3029468,way,611396786,to
8092086,way,32578654,from
8092086,node,2468452120,via
8092086,way,567751082,to
3123749,node,2409402335,via
3123749,way,232595316,from
3123749,way,32588479,to
6422646,way,468590910,from
6422646,node,366416137,via
6422646,way,289862304,to
3267012,node,2409402337,via
3267012,way,232595317,from
3267012,way,241578431,to
6794946,way,197804036,from
6794946,node,366431751,via
6794946,way,211411397,to
3122313,node,2211350097,via
3122313,way,32581070,from
3122313,way,211131732,to
3223919,node,2468452113,via
3223919,way,239031059,from
3223919,way,239030906,to
2993786,node,411925883,via
2993786,way,225192895,from
2993786,way,35113487,to
3003924,node,1767909387,via
3003924,way,34684246,from
3003924,way,211404526,to
3031371,node,2230310614,via
3031371,way,35115251,from
3031371,way,227739782,to
4029629,node,411926140,via
4029629,way,35115272,from
4029629,way,302854589,to
3096648,node,411918706,via
3096648,way,35115032,to
3451647,node,411925307,via
3451647,way,220863461,to
3451647,way,329878185,from
3581768,node,2393615146,via
3581768,way,266769168,to
3581768,way,610093732,from
2993780,way,497628302,from
2993780,node,411919410,via
2993780,way,71373483,to
2857516,node,1767203801,via
2857516,way,32576371,to
2857516,way,326848019,from
3044414,node,1767203801,via
3044414,way,35113051,from
3044414,way,326848019,to
3096616,node,2393614146,via
3096616,way,35114583,from
3096616,way,230934667,to
3796402,way,35113051,from
2864377,node,735998170,via
2864377,way,59339636,from
2864377,way,59265376,to
3044416,node,738217351,via
3044416,way,84721821,from
3044416,way,59528583,to
2857515,node,1767203801,via
2857515,way,165149818,from
2857515,way,215167469,to
3009249,way,32910319,from
3009249,way,226347941,via
3009249,way,199222899,to
3009249,node,723876669,
8055221,node,1611021940,via
8055221,way,563775071,to
8055222,node,1611021940,via
8055222,way,564159232,to
8055223,way,563775071,from
8055223,node,1611021940,via
8055223,way,563775071,to
8055224,way,563775071,from
8055224,node,1611021940,via
8055224,way,564159232,to
2916615,node,5356329018,via
2916615,way,197804068,from
2916615,way,197804026,to
2907528,way,219861150,from
3029450,node,2209385698,via
3029450,way,210772373,from
3029450,way,611349470,to
4264021,node,2210760917,via
4264021,way,211064630,from
4264021,way,316618666,to
8055212,way,228021174,from
8055212,node,723876669,via
8055212,way,564175102,to
8055213,way,564175102,from
8055213,node,723876669,via
8055213,way,564175102,to
8055214,way,564175102,from
8055214,node,723876669,via
8055216,way,330035861,from
3029303,node,2355608069,via
3029303,way,260982113,from
3029303,way,226827648,to
2993768,node,2340037589,via
2993768,way,225192428,from
2993768,way,225192428,to
4264019,node,2358286021,via
4264019,way,211067382,from
4264019,way,316618619,to
5638389,node,2358286024,via
5638389,way,260982113,
5638389,way,225921220,from
5638389,way,378250858,to
3123755,node,2409402333,via
3123755,way,495450437,from
3223920,node,2468452124,via
3223920,way,239031344,from
3223920,way,239030906,to
8092087,way,567751082,from
8092087,node,2468452120,via
8092087,way,567751082,to
8089446,way,567493114,from
8089446,node,5462344911,via
8089446,way,567493111,to
6786767,node,4530357192,via
6786767,way,456799180,to
6786767,way,609387296,from
8061455,way,35113620,from
8061455,node,4605032714,via
8061455,way,408162167,to
8061456,way,35113835,from
8061456,node,4605032714,via
8061456,way,408162167,to
8061457,way,565040731,from
8061457,node,4605032714,via
8061457,way,408162167,to
3044431,node,4609802776,via
3044431,way,215508134,from
3796401,way,192680130,from
8061453,way,35114956,from
8061453,node,4605032065,via
8061453,way,565040731,to
8055211,way,228021174,from
8055211,node,723876669,via
8061452,way,565040730,from
8061452,node,4605032065,via
8061452,way,565040731,to
