segment_id,s_node_id,e_node_id,length,max_velocity,street_level,street_name,segment_type,long_snode,lat_snode,long_enode,lat_enode,street_type,src,dst,edge_index
26,366428456,366416066,0.116,40.0,4,Nguyễn Văn Bá,tertiary,106.7687324,10.8415062,106.769254,10.8424219,tertiary,663,512,0
33,366469460,3792257828,0.026,40.0,3,Đường số 5,secondary,106.7619572,10.87865,106.7621428,10.8788077,secondary,1179,5601,1
67,366403668,5755066033,0.007,40.0,3,Đường số 5,secondary,106.7684119,10.880817,106.7684611,10.8807714,secondary,377,8976,2
70,5816921541,4614188871,0.008,40.0,3,Châu Văn Liêm,secondary,106.6590317,10.7519402,106.6590192,10.7520169,secondary,11094,6619,3
71,366441747,5738173336,0.043,40.0,4,Lê Văn Thịnh,unclassified,106.7657368,10.7765916,106.7659642,10.7769125,unclassified,840,8429,4
161,3202462316,3202462317,0.021,40.0,3,Tân Phú,primary_link,106.7236203,10.7336193,106.7238132,10.7336036,primary_link,5046,5047,5
173,2299416638,4639027499,0.009,40.0,4,Lê Minh Xuân,tertiary,106.651613,10.786231,106.6516988,10.7862517,tertiary,3522,6856,6
175,4639027499,4639027501,0.067,40.0,4,Lê Minh Xuân,tertiary,106.6516988,10.7862517,106.6522962,10.7864133,tertiary,6856,6857,7
177,4639027501,5772608672,0.025,40.0,4,Lê Minh Xuân,tertiary,106.6522962,10.7864133,106.652518,10.7864733,tertiary,6857,10169,8
179,5772608672,366430703,0.047,40.0,4,Lê Minh Xuân,tertiary,106.652518,10.7864733,106.6529364,10.7865865,tertiary,10169,688,9
181,366430703,5772608671,0.01,40.0,4,Lê Minh Xuân,tertiary,106.6529364,10.7865865,106.6530256,10.7866106,tertiary,688,10168,10
184,3011828036,5772608671,0.052,40.0,4,Lê Minh Xuân,tertiary,106.65349,10.7867363,106.6530256,10.7866106,tertiary,4544,10168,11
185,5769406267,366410141,0.035,40.0,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,unclassified,9793,463,12
206,2233730987,5772608664,0.054,40.0,4,Phú Hòa,unclassified,106.6538061,10.7856285,106.6533302,10.7854926,unclassified,3285,10167,13
207,366422378,5802629829,0.049,40.0,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,secondary,592,10877,14
299,1779408275,2027431006,0.015,40.0,4,Nguyễn Khoái,tertiary,106.6939259,10.7558779,106.6939906,10.7557574,tertiary,2414,2767,15
309,1780010853,366422916,0.095,40.0,4,Nguyễn Khoái,tertiary,106.6948938,10.7541206,106.6952956,10.7533608,tertiary,2415,600,16
424,5151366713,5716917501,0.014,40.0,4,Nguyễn Văn Lượng,unclassified,106.6799748,10.8384914,106.680097,10.8385342,unclassified,7726,8103,17
428,1706528933,1672907094,0.089,40.0,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,unclassified,2359,2353,18
430,366448695,1706528933,0.039,40.0,4,Trương Quốc Dung,unclassified,106.6724893,10.7953772,106.672673,10.7950667,unclassified,927,2359,19
432,4979973980,366449673,0.042,40.0,4,Tản Đà,tertiary,106.6646409,10.7510333,106.664706,10.7506566,tertiary,7362,939,20
433,4979973980,4589132514,0.05,40.0,4,Tản Đà,tertiary,106.6646409,10.7510333,106.6645422,10.7514798,tertiary,7362,6433,21
434,4589132514,4979973980,0.05,40.0,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6646409,10.7510333,tertiary,6433,7362,22
435,4589132514,366433158,0.089,40.0,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6643846,10.7522719,tertiary,6433,719,23
436,366433158,4589132514,0.089,40.0,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6645422,10.7514798,tertiary,719,6433,24
437,366433158,5816931407,0.069,40.0,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6642633,10.7528813,tertiary,719,11107,25
438,5816931407,366433158,0.069,40.0,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6643846,10.7522719,tertiary,11107,719,26
439,5816931407,4589132512,0.073,40.0,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6641339,10.7535319,tertiary,11107,6432,27
440,4589132512,5816931407,0.073,40.0,4,Tản Đà,tertiary,106.6641339,10.7535319,106.6642633,10.7528813,tertiary,6432,11107,28
441,5797643308,5797643307,0.034,40.0,4,Đường số 7,tertiary,106.6190633,10.7515592,106.6193735,10.7516045,tertiary,10793,10792,29
566,3178335371,2495745975,0.024,40.0,4,Nguyễn Hồng Đào,tertiary,106.6418466,10.7924125,106.6419251,10.7926149,tertiary,4979,4062,30
679,4950034787,4950034788,0.025,40.0,4,Trường Sa,tertiary,106.6855754,10.7925479,106.6857977,10.7926023,tertiary,7268,7269,31
680,4950034787,5764899744,0.09,40.0,4,Trường Sa,tertiary,106.6855754,10.7925479,106.6847572,10.7926798,tertiary,7268,9463,32
985,3191421708,1497312726,0.04,40.0,3,Trần Não,secondary,106.730462,10.7912282,106.730523,10.7915893,secondary,5031,2208,33
996,1497312738,1497312743,0.042,40.0,3,Trần Não,secondary,106.7311474,10.7954388,106.7312122,10.7958158,secondary,2211,2212,34
1002,5735415569,5735415570,0.016,40.0,3,Trần Não,secondary,106.7315976,10.7979228,106.7316171,10.7980684,secondary,8283,8284,35
1044,3382829560,3382829566,0.127,40.0,4,Phạm Đăng Giảng,tertiary,106.60636,10.8214287,106.6069027,10.8224463,tertiary,5358,5359,36
1046,5737827281,3382829560,0.102,40.0,4,Phạm Đăng Giảng,tertiary,106.6058968,10.8206311,106.60636,10.8214287,tertiary,8368,5358,37
1048,3382829581,5737827281,0.101,40.0,4,Phạm Đăng Giảng,tertiary,106.6054378,10.8198409,106.6058968,10.8206311,tertiary,5360,8368,38
1050,5740194878,3382829581,0.014,40.0,4,Phạm Đăng Giảng,tertiary,106.6053707,10.8197247,106.6054378,10.8198409,tertiary,8502,5360,39
1054,3382829584,5740194880,0.058,40.0,4,Phạm Đăng Giảng,tertiary,106.6049673,10.819026,106.605231,10.8194828,tertiary,5361,8503,40
1059,366400431,5025883618,0.05,40.0,4,Phạm Đăng Giảng,tertiary,106.6046358,10.8184504,106.6044259,10.818044,tertiary,339,7420,41
1341,366390663,2445304739,0.114,40.0,4,Đại Lộ III,tertiary,106.7753601,10.8136383,106.7743679,10.8133046,tertiary,274,3960,42
1499,366424612,366479343,0.025,40.0,4,Dương Thị Mười,tertiary,106.6368278,10.8703305,106.6367225,10.8701212,tertiary,615,1279,43
1500,366424612,5762725656,0.011,40.0,4,Dương Thị Mười,tertiary,106.6368278,10.8703305,106.6368738,10.8704226,tertiary,615,9299,44
1548,5735452041,366443905,0.204,40.0,4,Trần Não,tertiary,106.7324889,10.8008263,106.7306201,10.8006739,tertiary,8289,868,45
1549,366443905,5735452021,0.005,40.0,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,tertiary,868,8288,46
1551,366461102,366410160,0.021,40.0,4,Trần Não,tertiary,106.7295323,10.800603,106.7293575,10.8005193,tertiary,1076,464,47
1552,366410160,366442996,0.016,40.0,4,Phường Thảo Điền,tertiary,106.7293575,10.8005193,106.7292655,10.8003967,tertiary,464,857,48
1553,366442996,366441338,0.027,40.0,4,Trần Não,tertiary,106.7292655,10.8003967,106.7292475,10.8001505,tertiary,857,828,49
1554,366441338,5735415579,0.03,40.0,4,Trần Não,tertiary,106.7292475,10.8001505,106.7292928,10.7998829,tertiary,828,8285,50
1555,5735415579,378299077,0.004,40.0,4,Trần Não,tertiary,106.7292928,10.7998829,106.7293008,10.7998391,tertiary,8285,1308,51
1558,5719731384,3758592298,0.005,40.0,4,Thích Quảng Đức,tertiary,106.6785195,10.8082313,106.6785674,10.8082363,tertiary,8145,5561,52
1564,366475297,3654066975,0.025,40.0,4,Thích Quảng Đức,tertiary,106.6788772,10.8080783,106.6790756,10.807965,tertiary,1241,5459,53
1566,3654066975,366462375,0.019,40.0,4,Thích Quảng Đức,tertiary,106.6790756,10.807965,106.6792258,10.8078754,tertiary,5459,1092,54
1567,366462375,3654066975,0.019,40.0,4,Thích Quảng Đức,tertiary,106.6792258,10.8078754,106.6790756,10.807965,tertiary,1092,5459,55
1578,2487526100,3654066941,0.029,40.0,4,Thích Quảng Đức,tertiary,106.6796872,10.8073327,106.6799018,10.8071706,tertiary,4016,5453,56
1607,5778872990,366446926,0.028,40.0,4,Thích Quảng Đức,tertiary,106.6828971,10.8048539,106.6826965,10.8050192,tertiary,10522,905,57
1609,3654067005,5778872990,0.036,40.0,4,Thích Quảng Đức,tertiary,106.6831745,10.8046635,106.6828971,10.8048539,tertiary,5461,10522,58
1611,5778872989,3654067005,0.033,40.0,4,Thích Quảng Đức,tertiary,106.6834083,10.8044643,106.6831745,10.8046635,tertiary,10521,5461,59
1613,5763293916,5778872989,0.033,40.0,4,Thích Quảng Đức,tertiary,106.6836401,10.8042718,106.6834083,10.8044643,tertiary,9408,10521,60
1617,710640671,3654066932,0.011,40.0,4,Thích Quảng Đức,tertiary,106.6837704,10.8041511,106.683699,10.804223,tertiary,1924,5452,61
1619,5763160800,710640671,0.018,40.0,4,Thích Quảng Đức,tertiary,106.6838996,10.8040412,106.6837704,10.8041511,tertiary,9384,1924,62
1622,3239047771,5763160801,0.012,40.0,4,Thích Quảng Đức,tertiary,106.6839828,10.803935,106.6840534,10.8038417,tertiary,5091,9385,63
1624,5763160801,366381386,0.075,40.0,4,Thích Quảng Đức,tertiary,106.6840534,10.8038417,106.684482,10.8033105,tertiary,9385,151,64
1626,366436931,2993499702,0.049,40.0,4,Tân Thuận,unclassified,106.7500323,10.764817,106.749763,10.7644644,unclassified,762,4534,65
1712,366388641,5757727775,0.012,40.0,4,Tam Bình,tertiary,106.7287514,10.845997,106.7287743,10.8461105,tertiary,253,9145,66
1722,366382396,5757727784,0.016,40.0,4,Tam Bình,tertiary,106.7289417,10.8469839,106.728977,10.8471282,tertiary,166,9146,67
1734,3216188897,366459049,0.018,40.0,4,Tam Bình,tertiary,106.7291149,10.8483452,106.7291288,10.8485144,tertiary,5052,1058,68
1738,5757727786,366427385,0.023,40.0,4,Tam Bình,tertiary,106.7292145,10.8492677,106.7292386,10.8494797,tertiary,9147,646,69
1746,5757727788,5757721441,0.026,40.0,4,Tam Bình,tertiary,106.7294043,10.8503812,106.7294575,10.8506157,tertiary,9148,9143,70
1752,5757721493,5757800699,0.006,40.0,4,Tam Bình,tertiary,106.7295839,10.8511589,106.7295894,10.8512168,tertiary,9144,9154,71
1764,5762744176,366471734,0.029,40.0,4,Tam Bình,tertiary,106.7298645,10.8522541,106.7299492,10.8525073,tertiary,9317,1196,72
1774,5762744182,366401589,0.011,40.0,4,Tam Bình,tertiary,106.7303446,10.8531432,106.7304453,10.8531807,tertiary,9318,349,73
1780,5762744156,5762744162,0.067,40.0,4,Tam Bình,tertiary,106.7313874,10.853636,106.7319426,10.8539125,tertiary,9315,9316,74
1786,366408650,5762744102,0.015,40.0,4,Tam Bình,tertiary,106.7321395,10.8540124,106.7322674,10.8540654,tertiary,442,9313,75
1796,5762744077,366408615,0.039,40.0,4,Tam Bình,tertiary,106.7334759,10.8544538,106.7338252,10.8545357,tertiary,9312,441,76
1802,366433785,4865522547,0.072,40.0,3,Vĩnh Lộc,secondary,106.5775667,10.8125836,106.577018,10.812224,secondary,726,7000,77
2063,2434647895,366445888,0.013,40.0,4,Tôn Thất Hiệp,tertiary,106.6544961,10.7657693,106.654598,10.7658359,tertiary,3933,888,78
2064,2434647895,4929127560,0.038,40.0,4,Tôn Thất Hiệp,tertiary,106.6544961,10.7657693,106.6542158,10.7655534,tertiary,3933,7097,79
2065,4929127560,2434647895,0.038,40.0,4,Tôn Thất Hiệp,tertiary,106.6542158,10.7655534,106.6544961,10.7657693,tertiary,7097,3933,80
2066,4929127560,366388735,0.031,40.0,4,Tôn Thất Hiệp,tertiary,106.6542158,10.7655534,106.6539899,10.7653719,tertiary,7097,255,81
2067,366388735,4929127560,0.031,40.0,4,Tôn Thất Hiệp,tertiary,106.6539899,10.7653719,106.6542158,10.7655534,tertiary,255,7097,82
2068,366388735,366474637,0.019,40.0,4,Tôn Thất Hiệp,tertiary,106.6539899,10.7653719,106.6538403,10.7652775,tertiary,255,1233,83
2069,366474637,366388735,0.019,40.0,4,Tôn Thất Hiệp,tertiary,106.6538403,10.7652775,106.6539899,10.7653719,tertiary,1233,255,84
2070,366474637,5778485990,0.004,40.0,4,Tôn Thất Hiệp,tertiary,106.6538403,10.7652775,106.6538208,10.7652406,tertiary,1233,10416,85
2071,5778485990,366474637,0.004,40.0,4,Tôn Thất Hiệp,tertiary,106.6538208,10.7652406,106.6538403,10.7652775,tertiary,10416,1233,86
2072,5778485990,366465994,0.006,40.0,4,Tôn Thất Hiệp,tertiary,106.6538208,10.7652406,106.6537915,10.765185,tertiary,10416,1129,87
2073,366465994,5778485990,0.006,40.0,4,Tôn Thất Hiệp,tertiary,106.6537915,10.765185,106.6538208,10.7652406,tertiary,1129,10416,88
2074,366465994,366418153,0.015,40.0,4,Tôn Thất Hiệp,tertiary,106.6537915,10.765185,106.6537501,10.7650518,tertiary,1129,532,89
2075,366418153,366465994,0.015,40.0,4,Tôn Thất Hiệp,tertiary,106.6537501,10.7650518,106.6537915,10.765185,tertiary,532,1129,90
2076,366418153,5778485984,0.037,40.0,4,Tôn Thất Hiệp,tertiary,106.6537501,10.7650518,106.6536933,10.764717,tertiary,532,10415,91
2077,5778485984,366418153,0.037,40.0,4,Tôn Thất Hiệp,tertiary,106.6536933,10.764717,106.6537501,10.7650518,tertiary,10415,532,92
2078,5778485984,366413450,0.003,40.0,4,Tôn Thất Hiệp,tertiary,106.6536933,10.764717,106.6536879,10.7646854,tertiary,10415,489,93
2079,366413450,5778485984,0.003,40.0,4,Tôn Thất Hiệp,tertiary,106.6536879,10.7646854,106.6536933,10.764717,tertiary,489,10415,94
2080,366413450,366474075,0.014,40.0,4,Tôn Thất Hiệp,tertiary,106.6536879,10.7646854,106.653626,10.7645678,tertiary,489,1225,95
2081,366474075,366413450,0.014,40.0,4,Tôn Thất Hiệp,tertiary,106.653626,10.7645678,106.6536879,10.7646854,tertiary,1225,489,96
2082,366474075,4932516665,0.011,40.0,4,Tôn Thất Hiệp,tertiary,106.653626,10.7645678,106.6535649,10.7644853,tertiary,1225,7143,97
2083,4932516665,366474075,0.011,40.0,4,Tôn Thất Hiệp,tertiary,106.6535649,10.7644853,106.653626,10.7645678,tertiary,7143,1225,98
2084,4932516665,366448103,0.002,40.0,4,Tôn Thất Hiệp,tertiary,106.6535649,10.7644853,106.6535497,10.7644648,tertiary,7143,920,99
2085,366448103,4932516665,0.002,40.0,4,Tôn Thất Hiệp,tertiary,106.6535497,10.7644648,106.6535649,10.7644853,tertiary,920,7143,100
2086,366448103,366429352,0.023,40.0,4,Tôn Thất Hiệp,tertiary,106.6535497,10.7644648,106.6533662,10.7643527,tertiary,920,677,101
2087,366429352,366448103,0.023,40.0,4,Tôn Thất Hiệp,tertiary,106.6533662,10.7643527,106.6535497,10.7644648,tertiary,677,920,102
2088,366429352,4924631882,0.025,40.0,4,Tôn Thất Hiệp,tertiary,106.6533662,10.7643527,106.6531594,10.7642379,tertiary,677,7073,103
2089,4924631882,366429352,0.025,40.0,4,Tôn Thất Hiệp,tertiary,106.6531594,10.7642379,106.6533662,10.7643527,tertiary,7073,677,104
2090,4924631882,366426405,0.016,40.0,4,Tôn Thất Hiệp,tertiary,106.6531594,10.7642379,106.65303,10.7641661,tertiary,7073,635,105
