_id,segment_id,date,weekday,period,LOS
0,26,2021-04-16,4,period_0_30,A
1,33,2020-08-02,6,period_23_30,C
2,33,2020-08-03,0,period_0_00,D
3,67,2021-03-09,1,period_9_30,B
4,67,2021-03-23,1,period_9_30,B
5,70,2020-08-02,6,period_23_30,D
6,70,2020-08-03,0,period_0_00,E
7,71,2020-08-02,6,period_23_30,E
8,71,2020-08-03,0,period_0_00,C
9,161,2020-09-11,4,period_0_30,A
10,173,2020-12-28,0,period_4_30,A
11,173,2020-12-28,0,period_7_30,A
12,175,2020-12-09,2,period_14_00,A
13,175,2020-12-27,6,period_3_00,A
14,175,2020-12-27,6,period_4_00,A
15,177,2020-12-09,2,period_14_30,A
16,177,2020-12-27,6,period_4_30,A
17,177,2020-12-28,0,period_4_00,A
18,177,2020-12-28,0,period_5_00,A
19,177,2020-12-28,0,period_6_30,A
20,177,2020-12-28,0,period_7_00,A
21,177,2020-12-28,0,period_7_30,A
22,179,2020-12-28,0,period_5_30,A
23,179,2020-12-28,0,period_6_00,A
24,181,2020-12-09,2,period_15_00,A
25,181,2020-12-27,6,period_3_00,A
26,181,2020-12-27,6,period_3_30,A
27,181,2020-12-27,6,period_4_00,A
28,181,2020-12-27,6,period_4_30,A
29,181,2020-12-28,0,period_4_00,A
30,181,2020-12-28,0,period_4_30,A
31,181,2020-12-28,0,period_5_30,A
32,181,2020-12-28,0,period_7_00,A
33,181,2020-12-28,0,period_8_00,A
34,184,2021-01-15,4,period_3_00,E
35,185,2020-08-02,6,period_5_00,C
36,185,2020-11-30,0,period_5_00,B
37,185,2020-12-09,2,period_14_00,A
38,185,2020-12-19,5,period_13_30,D
39,185,2020-12-24,3,period_0_00,E
40,185,2020-12-24,3,period_0_30,F
41,185,2020-12-24,3,period_3_00,E
42,185,2020-12-27,6,period_2_30,A
43,185,2020-12-27,6,period_4_30,A
44,185,2020-12-28,0,period_4_30,A
45,185,2020-12-28,0,period_5_00,A
46,185,2020-12-28,0,period_7_30,A
47,185,2021-01-05,1,period_3_30,F
48,185,2021-03-09,1,period_10_30,C
49,185,2021-03-16,1,period_11_00,E
50,185,2021-03-23,1,period_10_30,C
51,185,2021-03-31,2,period_0_30,B
52,206,2020-11-30,0,period_5_00,B
53,207,2020-11-30,0,period_4_30,B
54,207,2020-11-30,0,period_6_00,B
55,207,2020-12-03,3,period_1_00,E
56,207,2020-12-03,3,period_4_30,E
57,207,2020-12-10,3,period_0_30,F
58,207,2020-12-24,3,period_0_00,C
59,207,2020-12-24,3,period_3_00,F
60,207,2021-01-05,1,period_1_00,C
61,207,2021-01-05,1,period_3_30,F
62,207,2021-01-19,1,period_11_30,D
63,207,2021-03-11,3,period_12_00,F
64,207,2021-03-11,3,period_7_00,F
65,207,2021-03-16,1,period_5_30,D
66,207,2021-03-31,2,period_0_30,C
67,207,2021-04-07,2,period_14_00,D
68,207,2021-04-14,2,period_1_00,E
69,207,2021-04-15,3,period_5_00,C
70,299,2020-08-03,0,period_1_00,F
71,309,2020-11-27,4,period_12_00,C
72,424,2020-12-10,3,period_14_30,A
73,424,2020-12-12,5,period_7_00,A
74,424,2020-12-13,6,period_12_30,A
75,428,2020-12-23,2,period_23_30,A
76,428,2020-12-26,5,period_10_30,A
77,428,2020-12-26,5,period_11_00,A
78,428,2020-12-26,5,period_11_30,A
79,428,2020-12-26,5,period_12_00,A
80,428,2020-12-26,5,period_12_30,A
81,428,2020-12-26,5,period_8_30,A
82,428,2020-12-26,5,period_9_00,A
83,428,2020-12-26,5,period_9_30,A
84,430,2020-12-26,5,period_10_00,A
85,430,2020-12-26,5,period_7_30,A
86,432,2020-08-02,6,period_23_30,E
87,432,2020-08-03,0,period_0_00,C
88,433,2020-08-02,6,period_23_30,E
89,433,2020-08-03,0,period_0_00,C
90,434,2020-08-02,6,period_23_30,C
91,434,2020-08-03,0,period_0_00,D
92,435,2020-08-02,6,period_23_30,C
93,435,2020-08-03,0,period_0_00,D
94,436,2020-08-02,6,period_23_30,F
95,436,2020-08-03,0,period_0_00,C
96,437,2020-08-02,6,period_23_30,F
97,437,2020-08-03,0,period_0_00,D
98,438,2020-08-02,6,period_23_30,C
99,438,2020-08-03,0,period_0_00,E
100,439,2020-08-02,6,period_23_30,C
101,439,2020-08-03,0,period_0_00,C
102,440,2020-08-02,6,period_23_30,E
103,440,2020-08-03,0,period_0_00,E
104,441,2020-08-02,6,period_23_30,C
105,441,2020-08-03,0,period_0_00,D
106,566,2021-01-09,5,period_14_00,A
107,679,2020-12-21,0,period_15_00,B
108,679,2020-12-22,1,period_14_00,B
109,679,2020-12-22,1,period_15_00,B
110,680,2020-12-21,0,period_14_30,B
111,985,2020-12-18,4,period_1_30,A
112,996,2021-04-16,4,period_11_00,A
113,1002,2020-12-30,2,period_11_00,C
114,1044,2020-12-18,4,period_11_00,E
115,1046,2020-12-18,4,period_11_00,F
116,1048,2020-12-18,4,period_11_00,E
117,1050,2020-12-18,4,period_11_00,F
118,1054,2020-12-18,4,period_11_00,F
119,1054,2020-12-18,4,period_1_00,E
120,1059,2020-12-18,4,period_1_00,E
121,1341,2020-12-10,3,period_0_30,B
122,1341,2021-01-15,4,period_0_30,B
123,1341,2021-04-14,2,period_0_30,C
124,1341,2021-04-15,3,period_5_00,F
125,1499,2020-12-12,5,period_7_30,A
126,1500,2020-11-29,6,period_15_30,A
127,1500,2020-11-29,6,period_2_00,A
128,1548,2021-04-22,3,period_1_30,E
129,1549,2020-12-18,4,period_1_30,A
130,1549,2020-12-22,1,period_1_30,C
131,1549,2021-04-15,3,period_1_30,A
132,1549,2021-04-19,0,period_1_30,B
133,1549,2021-04-22,3,period_1_30,A
134,1551,2020-12-18,4,period_1_30,B
135,1551,2021-04-15,3,period_1_30,A
136,1551,2021-04-19,0,period_1_30,A
137,1551,2021-04-22,3,period_1_30,E
138,1552,2021-04-15,3,period_1_30,F
139,1553,2021-04-22,3,period_1_30,E
140,1554,2020-12-18,4,period_1_30,C
141,1554,2021-04-15,3,period_1_30,C
142,1555,2021-04-22,3,period_1_30,A
143,1558,2020-11-16,0,period_14_00,B
144,1558,2020-11-18,2,period_12_00,D
145,1558,2020-11-19,3,period_11_30,D
146,1558,2020-11-20,4,period_12_00,E
147,1558,2020-11-28,5,period_14_00,C
148,1558,2020-12-01,1,period_12_00,C
149,1558,2020-12-15,1,period_11_30,C
150,1558,2020-12-21,0,period_15_00,B
151,1558,2020-12-21,0,period_15_30,B
152,1558,2020-12-21,0,period_16_00,B
153,1558,2020-12-22,1,period_13_30,B
154,1558,2020-12-22,1,period_14_00,B
155,1558,2020-12-22,1,period_15_30,B
156,1558,2020-12-23,2,period_13_30,B
157,1558,2020-12-23,2,period_14_00,B
158,1564,2020-11-29,6,period_3_00,A
159,1566,2020-11-28,5,period_14_30,B
160,1567,2020-11-29,6,period_3_00,B
161,1578,2020-11-29,6,period_3_00,A
162,1607,2020-12-26,5,period_10_00,A
163,1607,2020-12-26,5,period_9_00,A
164,1609,2020-12-26,5,period_11_00,A
165,1609,2020-12-26,5,period_11_30,A
166,1609,2020-12-26,5,period_12_00,A
167,1609,2020-12-26,5,period_12_30,A
168,1611,2020-12-26,5,period_10_30,A
169,1611,2020-12-26,5,period_7_00,A
170,1613,2020-12-26,5,period_10_00,A
171,1613,2020-12-26,5,period_9_30,A
172,1617,2020-12-23,2,period_23_00,A
173,1617,2020-12-26,5,period_8_30,A
174,1617,2020-12-26,5,period_9_00,A
175,1619,2020-12-26,5,period_9_30,A
176,1622,2020-12-26,5,period_11_00,A
177,1622,2020-12-26,5,period_11_30,A
178,1622,2020-12-26,5,period_12_00,A
179,1622,2020-12-26,5,period_12_30,A
180,1624,2020-12-26,5,period_7_00,A
181,1626,2020-12-19,5,period_13_30,C
182,1626,2020-12-26,5,period_10_30,B
183,1626,2020-12-26,5,period_9_30,A
184,1626,2021-04-07,2,period_13_30,F
185,1712,2020-11-29,6,period_4_30,A
186,1722,2020-11-29,6,period_4_30,A
187,1734,2020-11-29,6,period_4_30,A
188,1738,2020-11-29,6,period_4_30,A
189,1746,2020-11-29,6,period_4_30,A
190,1752,2020-11-29,6,period_4_30,A
191,1764,2020-11-29,6,period_4_30,A
192,1774,2020-11-29,6,period_4_30,A
193,1780,2020-11-29,6,period_4_30,A
194,1786,2020-11-29,6,period_4_30,A
195,1796,2020-11-29,6,period_4_30,A
196,1802,2020-11-29,6,period_4_30,A
197,2063,2020-08-02,6,period_23_30,C
198,2063,2020-08-03,0,period_0_00,D
199,2064,2020-08-02,6,period_23_30,E
200,2064,2020-08-03,0,period_0_00,D
201,2065,2020-08-02,6,period_23_30,F
202,2065,2020-08-03,0,period_0_00,D
203,2066,2020-08-02,6,period_23_30,F
204,2066,2020-08-03,0,period_0_00,E
205,2067,2020-08-02,6,period_23_30,F
206,2067,2020-08-03,0,period_0_00,E
207,2068,2020-08-02,6,period_23_30,C
208,2068,2020-08-03,0,period_0_00,E
209,2069,2020-08-02,6,period_23_30,F
210,2069,2020-08-03,0,period_0_00,D
211,2070,2020-08-02,6,period_23_30,E
212,2070,2020-08-03,0,period_0_00,E
213,2071,2020-08-02,6,period_23_30,A
214,2071,2020-08-03,0,period_0_00,D
215,2072,2020-08-02,6,period_23_30,A
216,2072,2020-08-03,0,period_0_00,E
217,2073,2020-08-02,6,period_23_30,C
218,2073,2020-08-03,0,period_0_00,D
219,2074,2020-08-02,6,period_23_30,D
220,2074,2020-08-03,0,period_0_00,D
221,2075,2020-08-02,6,period_23_30,C
222,2075,2020-08-03,0,period_0_00,D
223,2076,2020-08-02,6,period_23_30,C
224,2076,2020-08-03,0,period_0_00,D
225,2077,2020-08-02,6,period_23_30,D
226,2077,2020-08-03,0,period_0_00,E
227,2078,2020-08-02,6,period_23_30,D
228,2078,2020-08-03,0,period_0_00,E
229,2079,2020-08-02,6,period_23_30,D
230,2079,2020-08-03,0,period_0_00,C
231,2080,2020-08-02,6,period_23_30,C
232,2080,2020-08-03,0,period_0_00,D
233,2081,2020-08-02,6,period_23_30,C
234,2081,2020-08-03,0,period_0_00,C
235,2082,2020-08-02,6,period_23_30,C
236,2082,2020-08-03,0,period_0_00,E
237,2083,2020-08-02,6,period_23_30,C
238,2083,2020-08-03,0,period_0_00,D
239,2084,2020-08-02,6,period_23_30,C
240,2084,2020-08-03,0,period_0_00,E
241,2085,2020-08-02,6,period_23_30,D
242,2085,2020-08-03,0,period_0_00,C
243,2086,2020-08-02,6,period_23_30,A
244,2086,2020-08-03,0,period_0_00,D
245,2087,2020-08-02,6,period_23_30,A
246,2087,2020-08-03,0,period_0_00,E
247,2088,2020-08-02,6,period_23_30,E
248,2088,2020-08-03,0,period_0_00,D
249,2089,2020-08-02,6,period_23_30,E
250,2089,2020-08-03,0,period_0_00,E
251,2090,2020-08-02,6,period_23_30,C
252,2090,2020-08-03,0,period_0_00,C
253,2091,2020-08-02,6,period_23_30,E
254,2091,2020-08-03,0,period_0_00,D
255,2092,2020-08-02,6,period_23_30,E
256,2092,2020-08-03,0,period_0_00,C
257,2093,2020-08-02,6,period_23_30,C
258,2093,2020-08-03,0,period_0_00,D
259,2094,2020-08-02,6,period_23_30,E
260,2094,2020-08-03,0,period_0_00,D
261,2095,2020-08-02,6,period_23_30,C
262,2095,2020-08-03,0,period_0_00,D
263,2096,2020-08-02,6,period_23_30,E
264,2096,2020-08-03,0,period_0_00,D
265,2097,2020-08-02,6,period_23_30,C
266,2097,2020-08-03,0,period_0_00,D
267,2098,2020-08-02,6,period_23_30,C
268,2098,2020-08-03,0,period_0_00,C
269,2099,2020-08-02,6,period_23_30,E
270,2099,2020-08-03,0,period_0_00,D
271,2100,2020-08-02,6,period_23_30,D
272,2100,2020-08-03,0,period_0_00,E
273,2101,2020-08-02,6,period_23_30,C
274,2101,2020-08-03,0,period_0_00,D
275,2102,2020-08-02,6,period_23_30,D
276,2102,2020-08-03,0,period_0_00,E
277,2103,2020-08-02,6,period_23_30,C
278,2103,2020-08-03,0,period_0_00,D
279,2104,2020-08-02,6,period_23_30,D
280,2104,2020-08-03,0,period_0_00,D
281,2105,2020-08-02,6,period_23_30,C
282,2105,2020-08-03,0,period_0_00,D
283,2106,2020-08-02,6,period_23_30,E
284,2106,2020-08-03,0,period_0_00,D
285,2107,2020-08-02,6,period_23_30,D
286,2107,2020-08-03,0,period_0_00,E
287,2108,2020-08-02,6,period_23_30,B
288,2108,2020-08-03,0,period_0_00,C
289,2109,2020-08-02,6,period_23_30,E
290,2109,2020-08-03,0,period_0_00,E
291,2110,2020-08-02,6,period_23_30,E
292,2110,2020-08-03,0,period_0_00,C
293,2111,2020-08-02,6,period_23_30,C
294,2111,2020-08-03,0,period_0_00,D
295,2112,2020-08-02,6,period_23_30,B
296,2112,2020-08-03,0,period_0_00,C
297,2113,2020-08-02,6,period_23_30,E
298,2113,2020-08-03,0,period_0_00,E
299,2114,2020-08-02,6,period_23_30,E
300,2114,2020-08-03,0,period_0_00,D
301,2115,2020-08-02,6,period_23_30,A
302,2115,2020-08-03,0,period_0_00,D
303,2116,2020-08-02,6,period_23_30,E
304,2116,2020-08-03,0,period_0_00,E
305,2117,2020-08-02,6,period_23_30,E
306,2117,2020-08-03,0,period_0_00,D
307,2118,2020-08-02,6,period_23_30,E
308,2118,2020-08-03,0,period_0_00,E
309,2119,2020-08-02,6,period_23_30,B
310,2119,2020-08-03,0,period_0_00,D
311,2120,2020-08-02,6,period_23_30,D
312,2120,2020-08-03,0,period_0_00,C
313,2121,2020-08-02,6,period_23_30,E
314,2121,2020-08-03,0,period_0_00,D
315,2122,2020-08-02,6,period_23_30,F
316,2122,2020-08-03,0,period_0_00,E
317,2123,2020-08-02,6,period_23_30,F
318,2123,2020-08-03,0,period_0_00,D
319,2124,2020-08-02,6,period_23_30,B
320,2124,2020-08-03,0,period_0_00,E
321,2125,2020-08-02,6,period_23_30,F
322,2125,2020-08-03,0,period_0_00,D
323,2126,2020-08-02,6,period_23_30,C
324,2126,2020-08-03,0,period_0_00,D
325,2127,2020-08-02,6,period_23_30,A
326,2127,2020-08-03,0,period_0_00,C
327,2128,2020-08-02,6,period_23_30,A
328,2128,2020-08-03,0,period_0_00,D
329,2129,2020-08-02,6,period_23_30,D
330,2129,2020-08-03,0,period_0_00,E
331,2130,2020-08-02,6,period_23_30,E
332,2130,2020-08-03,0,period_0_00,C
333,2131,2020-08-02,6,period_23_30,F
334,2131,2020-08-03,0,period_0_00,D
335,2132,2020-08-02,6,period_23_30,B
336,2132,2020-08-03,0,period_0_00,E
337,2133,2020-08-02,6,period_23_30,E
338,2133,2020-08-03,0,period_0_00,D
339,2134,2020-08-02,6,period_23_30,E
340,2134,2020-08-03,0,period_0_00,E
341,2135,2020-08-02,6,period_23_30,D
342,2135,2020-08-03,0,period_0_00,E
343,2136,2020-08-02,6,period_23_30,E
344,2136,2020-08-03,0,period_0_00,E
345,2137,2020-08-02,6,period_23_30,E
