id,ref,role,hour_off,hour_on,except,restriction,note
2922023,366443898,via,18:00,17:00,motorcycle,no_left_turn,
2922023,220971019,from,18:00,17:00,motorcycle,no_left_turn,
2922023,32580244,to,18:00,17:00,motorcycle,no_left_turn,
3423384,2079964894,via,,,motorcycle,no_left_turn,
3423384,255646465,from,,,motorcycle,no_left_turn,
3423384,255646464,to,,,motorcycle,no_left_turn,
2907508,366476538,via,,,,no_left_turn,
2907508,219856946,from,,,,no_left_turn,
2907508,239030925,to,,,,no_left_turn,
2914954,366462455,via,,,,no_u_turn,
2914954,152067208,from,,,,no_u_turn,
2970026,2079964991,via,,,motorcycle,no_right_turn,
2970026,223784360,from,,,motorcycle,no_right_turn,
2970026,628721073,to,,,motorcycle,no_right_turn,
3029466,2210806919,via,,,,no_right_turn,
3029466,629178829,from,,,,no_right_turn,
3029466,225922496,to,,,,no_right_turn,
3113587,399152053,from,,,motorcycle,no_u_turn,
3113587,231977547,from,,,motorcycle,no_u_turn,
3113587,223229323,via,,,motorcycle,no_u_turn,
3113587,260604763,to,,,motorcycle,no_u_turn,
3113587,399152054,to,,,motorcycle,no_u_turn,
4264025,2244879146,via,,,,no_right_turn,
4264025,211068224,from,,,,no_right_turn,
4264025,316618923,to,,,,no_right_turn,
5351138,366389514,via,,,,no_left_turn,
5351138,32576645,from,,,,no_left_turn,
5351138,359550384,to,,,,no_left_turn,
5996329,366437635,via,,,,only_left_turn,
5996329,32585398,from,,,,only_left_turn,
5996329,211419161,to,,,,only_left_turn,
3029468,2244906874,via,,,,no_right_turn,
3029468,210779439,from,,,,no_right_turn,
3029468,611396786,to,,,,no_right_turn,
8092086,32578654,from,,,,no_straight_on,
8092086,2468452120,via,,,,no_straight_on,
8092086,567751082,to,,,,no_straight_on,
3123749,2409402335,via,,,motorcycle,no_left_turn,
3123749,232595316,from,,,motorcycle,no_left_turn,
3123749,32588479,to,,,motorcycle,no_left_turn,
6422646,468590910,from,,,,no_left_turn,
6422646,366416137,via,,,,no_left_turn,
6422646,289862304,to,,,,no_left_turn,
3267012,2409402337,via,22:00,6:00,motorcycle,no_left_turn,
3267012,232595317,from,22:00,6:00,motorcycle,no_left_turn,
3267012,241578431,to,22:00,6:00,motorcycle,no_left_turn,
6794946,197804036,from,,,,no_right_turn,no right turn for cars only
6794946,366431751,via,,,,no_right_turn,no right turn for cars only
6794946,211411397,to,,,,no_right_turn,no right turn for cars only
3122313,2211350097,via,,,,no_left_turn,
3122313,32581070,from,,,,no_left_turn,
3122313,211131732,to,,,,no_left_turn,
3223919,2468452113,via,,,motorcycle,no_left_turn,
3223919,239031059,from,,,motorcycle,no_left_turn,
3223919,239030906,to,,,motorcycle,no_left_turn,
2993786,411925883,via,,,,no_left_turn,
2993786,225192895,from,,,,no_left_turn,
2993786,35113487,to,,,,no_left_turn,
3003924,1767909387,via,,,,no_left_turn,
3003924,34684246,from,,,,no_left_turn,
3003924,211404526,to,,,,no_left_turn,
3031371,2230310614,via,,,motorcycle,no_right_turn,
3031371,35115251,from,,,motorcycle,no_right_turn,
3031371,227739782,to,,,motorcycle,no_right_turn,
4029629,411926140,via,,,motorcycle,no_left_turn,
4029629,35115272,from,,,motorcycle,no_left_turn,
4029629,302854589,to,,,motorcycle,no_left_turn,
3096648,411918706,via,,,,no_left_turn,
3096648,35115032,to,,,,no_left_turn,
3451647,411925307,via,,,,only_right_turn,
3451647,220863461,to,,,,only_right_turn,
3451647,329878185,from,,,,only_right_turn,
3581768,2393615146,via,,,,no_left_turn,
3581768,266769168,to,,,,no_left_turn,
3581768,610093732,from,,,,no_left_turn,
2993780,497628302,from,,,motorcycle,no_left_turn,
2993780,411919410,via,,,motorcycle,no_left_turn,
2993780,71373483,to,,,motorcycle,no_left_turn,
2857516,1767203801,via,,,mortorcycle,no_left_turn,
2857516,32576371,to,,,mortorcycle,no_left_turn,
2857516,326848019,from,,,mortorcycle,no_left_turn,
3044414,1767203801,via,,,motorcycle,no_left_turn,
3044414,35113051,from,,,motorcycle,no_left_turn,
3044414,326848019,to,,,motorcycle,no_left_turn,
3096616,2393614146,via,,,motorcycle,no_left_turn,
3096616,35114583,from,,,motorcycle,no_left_turn,
3096616,230934667,to,,,motorcycle,no_left_turn,
3796402,35113051,from,,,,no_straight_on,
2864377,735998170,via,,,,no_left_turn,
2864377,59339636,from,,,,no_left_turn,
2864377,59265376,to,,,,no_left_turn,
3044416,738217351,via,,,motorcycle,no_left_turn,
3044416,84721821,from,,,motorcycle,no_left_turn,
3044416,59528583,to,,,motorcycle,no_left_turn,
2857515,1767203801,via,,,,no_left_turn,
2857515,165149818,from,,,,no_left_turn,
2857515,215167469,to,,,,no_left_turn,
3009249,32910319,from,,,,no_u_turn,
3009249,226347941,via,,,,no_u_turn,
3009249,199222899,to,,,,no_u_turn,
3009249,723876669,,,,,no_u_turn,
8055221,1611021940,via,,,,no_left_turn,
8055221,563775071,to,,,,no_left_turn,
8055222,1611021940,via,,,,no_straight_on,
8055222,564159232,to,,,,no_straight_on,
8055223,563775071,from,,,,no_u_turn,
