type,id,tags.crossing,tags.highway,tags.junction,tags.name,tags.note,tags.name:vi,tags.access,tags.traffic_signals:direction,tags.fixme,nodes,tags.lanes,tags.surface,tags.name:en,tags.ref,tags.name:zh,tags.hgv,tags.maxweight:conditional,tags.maxweight,tags.maxspeed,tags.oneway,tags.motor_vehicle,tags.motorcycle,tags.bicycle,tags.mofa,tags.moped,tags.old_name,tags.motorcar,tags.bus:lanes,tags.motor_vehicle:lanes,tags.motorcycle:lanes,tags.taxi:lanes,tags.foot,tags.bridge,tags.layer,tags.horse,tags.alt_name,tags.service,tags.bicycle:oneway,tags.addr:district,tags.motorcycle:oneway,tags.construction,tags.int_ref,tags.hgv:lanes,tags.moped:lanes,tags.addr:city,tags.destination:street:backward,tags.destination:street:forward,tags.description,tags.turn:lanes:forward,tags.oneway:bicycle,tags.oneway:hgv,tags.oneway:moped,tags.oneway:motorcycle,tags.oneway:psv,tags.lanes:backward,tags.lanes:forward,tags.turn:lanes,tags.mofa:lanes,tags.footway,tags.bus,tags.oneway:motorcar,tags.hgv:conditional,tags.motorroad,tags.lanes:motorcycle,tags.cycleway,tags.surfaces,tags.maxspeed:bus,tags.maxspeed:hgv,tags.maxspeed:hgv_articulated,tags.maxspeed:motor_vehicle,tags.hgv_articulated,tags.psv:conditional,tags.moped:oneway,tags.destination:street,tags.maxweight:hgv,tags.maxweight:hgv:conditional,tags.maxweight:hgv_articulated,tags.overtaking,tags.motor_vehicle:conditional,tags.addr:subdistrict,tags.psv,tags.area,tags.car,tags.maxheight,tags.maxweight:lanes,tags.destination:ref,tags.source,tags.maxspeed:articulated_hgv,tags.maxspeed:motor_car,tags.hgv_articulated:conditional,tags.name:de,tags.destination:district,tags.bus:conditional,tags.ski,tags.snowmobile,tags.wheelchair,tags.turn:lanes:backward,tags.oneway:mopeds,tags.amenity,tags.religion,tags.sidewalk,tags.old_name:fr,tags.old_name:vi,tags.name:ja,tags.name:th,tags.oneway:mofa,tags.lit,tags.name:vi-hani,tags.old_name:en,tags.old_name:zh,tags.width,tags.old_name:1955-1975,tags.old_name:1897-1955,tags.old_name:1871-1897,tags.name:id,tags.maxspeed:lanes,tags.source:maxspeed,tags.maxspeed:motorcar,tags.destination:street:to,tags.taxi:conditional,tags.bicycle:lanes,tags.tunnel,tags.proposed,tags.destination:lanes,tags.destination:street:en,tags.level,tags.destination:int_ref,tags.covered,tags.truck,tags.lanes:bus,tags.lanes:motor_vehicle,tags.motorcycle:conditional,tags.stop,tags.minspeed,tags.bridge:name,tags.alt_name:en,tags.vehicle,tags.motorcar:forward,tags.date,tags.lay,tags.motorcycle:lanes:foward,tags.motor_vehicle:lanes:forward,tags.lanes:motorcycle:forward,tags.narrow,tags.information,tags.postal_code,tags.maxpeed:hgv,tags.hgv;conditional,tags.cutting,tags.maxspeed:advisory,tags.destination:forward
way,32575768,,residential,,Đường số 27,,,,,,"[366369613, 5795144851, 366418963, 366373068, 5753228946, 5795144815, 366378718, 5795144828, 5795144841, 5795144839, 4107389720, 5752843056, 366442490, 5753023085, 366387538, 5793457602, 5752843088, 5753023079, 366444706, 5752843089, 5795145096, 5752843085]",2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32576350,,residential,,Đường số 18,,,,,,"[2269043918, 366372346, 6754138053, 6754138038, 6754138055, 5755079612, 3040292134, 5755079614, 5755049749, 5845744589, 5755049767, 366478692, 5755049761, 5716927878, 6754138057, 366414210, 366408075, 2686060644, 2686060645, 2686060646]",2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32576691,,secondary,,Phan Văn Hớn,,,,,,"[366452320, 3351962143, 3351962141, 366375776, 5750604125, 366418412, 3356279285, 366375527, 3350064601, 366372974, 3351882753, 366403377, 3376115674, 366477242, 4178544418, 366417902, 366417882, 366435027, 366402459, 366451475, 366432164, 366375946, 4865562278, 366400484, 3376112182, 3376115796, 366456105, 366426101, 3376519377, 366466989, 3376519374, 5750808327, 737199241, 5750805519, 5750808333, 366420409, 5750805517, 366433035, 366449088, 366368328, 366452239, 366387765, 3376519323, 366417219, 366460104, 5750870325, 3376519253, 366448964, 366412328, 3376519218, 366383415, 5755325726, 366435526, 366398163, 3376519121, 5755046116, 366445121, 5755046074, 366458106, 5753106539, 737199242, 5753105399, 366435236, 5751092212, 5753106554, 5753105404, 366445555, 5753105400, 3376115619, 737199238, 3376518756, 5753316910, 5753316892, 366420081, 5752789362, 366384568, 3376518719, 366470029, 3220145878, 366441293, 366470452, 366400238, 6657216595, 3220145727, 366445703, 3220145722, 366383524, 366458687, 366411230, 3220145680, 5750735807, 366430977, 5750735808, 366463639, 3220144758, 366469595, 5750735774, 366401665, 366428795, 3220144752, 366435299, 366445632, 5750785447, 366399599, 366446398, 3376112278, 5750784167, 5750785438, 366451105, 5748776036, 366417990, 366380046, 5748776094, 366479263, 366461302, 366460227, 5748776090, 366373663, 366456166, 366475384, 1603905804, 366371606]",,,Phan Van Hon,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32576911,,residential,,Đường Tân Thành,,,,,,"[5778381634, 6637725838, 6712462069, 6712462068, 5552002921, 4878713065, 5802888803, 366462332, 5802888828, 5813858127, 6637668983, 1996745627, 366368807, 6732183128, 6758167220, 366418204, 6758167222, 5802888786, 5813858458, 5802888787, 5674570650, 5802861318, 5802888820, 366371060, 6770512337, 366369343]",2,asphalt,Tan Thanh Street,,新城街,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577060,,residential,,,,,,,,"[366371080, 366389438, 5735589498, 5735589492, 5735589495, 366373643, 5735589497, 366383116, 366369124, 366425083, 737199252]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577244,,tertiary,,Tôn Thất Hiệp,,,,,,"[366445888, 2434647895, 6713197753, 4929127560, 366388735, 366474637, 5778485990, 366465994, 366418153, 6249593002, 5778485984, 366413450, 6717350672, 366474075, 4932516665, 366448103, 366429352, 4924631882, 366426405, 4924631894, 366424295, 6724333222, 366457256, 6724333223, 366371762, 4924631875, 366374703, 366428610, 4537174049, 366439980, 4537174048, 366402755]",2,asphalt,,,,no,2.5 @ (06:00-22:00),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577484,,tertiary,,Gò Dưa,,,,,,"[4720214181, 366368730, 5767715230, 2968017234, 5767715260, 366407749, 2968017239, 3217666095, 3217666096, 5767420562, 2968017251, 5767639435, 366381991, 366370840, 5767420529, 737199297, 5767600867, 4031006190, 5767601357, 5767600871, 366476127, 366436977, 5767601368, 5767639430, 5767601360, 366454364, 366456025, 366469717, 366443806, 366382032, 2968017262, 366441452, 6627178822, 2968017263, 6627178823, 366371371, 5772493654, 366397808]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577508,,tertiary,,Kha Vạn Cân,,,,,,"[366377850, 366416677, 3141558631, 366368454, 366444451, 2964346522, 2418527119, 366388058, 366413436, 366382389, 3141558632, 366376119, 366410090, 366408398, 2964936882, 366465432, 366452505]",2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32577627,,residential,,Huỳnh Mẫn Đạt,,,,,,"[366402464, 366388178, 5775221826, 366386086, 366452450, 5738098126, 5775221839, 5775221831, 366474553, 366368125]",,,Huynh Man Dat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32578394,,residential,,Hẻm 197 Hàn Hải Nguyên,,,,,,"[366372517, 5769559429, 4932516754, 366421178, 5769559431, 6169690275, 4932516752, 366370772]",,concrete,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
